,assigned_position,best_seller,desired_choice,discounted,experiment_label,experiment_number,image_url,limited_time,low_stock,original_price,original_rating,original_rating_count,overall_pick,position_in_experiment,price,query,rating,rating_count,sku,sponsored,stock_quantity,title,url
8000,0,False,-1,False,master_experiment,0,https://m.media-amazon.com/images/I/51jbUXcKgZL._AC_UL320_.jpg,False,False,13.97,4.7,38896,False,0,13.97,mousepad,4.7,38896,mousepad_6,True,40,"KTRIO Large Gaming Mouse Pad with Superior Micro-Weave Cloth, Extended Desk Mousepad with Stitched Edges, Non-Slip Base, Water Resist Keyboard Pad for Gamer, Office & Home, 31.5 x 11.8 in, Black",https://www.amazon.com/KTRIO-Stitched-Superior-Micro-Weave-Non-Slip/dp/B0788LMLZL/ref=sr_1_8?dib=eyJ2IjoiMSJ9.-MhpCuyVEjG1a-3GrpAGhw0nQsF27cjiFm-aS-6ZLfB3w71DjEYOYoeguu2V3sdbxAQZPsUWqxVAzh_iah2UQPbc2z-eZJfkpzotVkFDId8hKvfYqxUzX4BSDPKSSaOqzP22lP8ZGfmBmwPsglcIZPKlH4p2hPoZTMGEEiKAQz9sWglOM1gs6btcAAPlUbkewMe5cnYJw7CPLWRcVT40qQUjYyYgqVLf33BDhoWQGK0zOykKPnlxZJYaj1MAHnAHs8HiOjRH-qfV2Emmd9WerufYWQB_0v2337w44Qa0bVQ.VEqX_uMhlmFZsbn7HHa2g5g4z4oFlFuSjuoCbDIa7KA&dib_tag=se&keywords=mousepad&qid=1745867201&sr=8-8#customerReviews
8001,1,False,-1,False,master_experiment,0,https://m.media-amazon.com/images/I/61tZSb-bTUL._AC_UL320_.jpg,False,False,7.99,4.6,2774,False,1,7.99,mousepad,4.6,2774,mousepad_2,False,43,"Logitech G240 Cloth Gaming Mouse Pad, Optimized for Gaming Sensors, Moderate Surface Friction, Non-Slip Mouse Mat - Black",https://www.amazon.com/Logitech-Optimized-Moderate-Friction-Accessories/dp/B0BHMLWH3Z/ref=sr_1_44?dib=eyJ2IjoiMSJ9.-MhpCuyVEjG1a-3GrpAGhw0nQsF27cjiFm-aS-6ZLfB3w71DjEYOYoeguu2V3sdbxAQZPsUWqxVAzh_iah2UQPbc2z-eZJfkpzotVkFDId8hKvfYqxUzX4BSDPKSSaOqzP22lP8ZGfmBmwPsglcIZPKlH4p2hPoZTMGEEiKAQz9sWglOM1gs6btcAAPlUbkewMe5cnYJw7CPLWRcVT40qQUjYyYgqVLf33BDhoWQGK0zOykKPnlxZJYaj1MAHnAHs8HiOjRH-qfV2Emmd9WerufYWQB_0v2337w44Qa0bVQ.VEqX_uMhlmFZsbn7HHa2g5g4z4oFlFuSjuoCbDIa7KA&dib_tag=se&keywords=mousepad&qid=1745867201&sr=8-44#customerReviews
8002,2,False,-1,False,master_experiment,0,https://m.media-amazon.com/images/I/81FdngRuH7L._AC_UL320_.jpg,False,False,8.49,4.6,29052,True,2,8.49,mousepad,4.6,29052,mousepad_4,False,16,"MROCO Ergonomic Mouse Pad with Gel Wrist Rest, Comfortable Mousepad with Smooth Wrist Support Surface and Non-Slip PU Base for Pain Relief, Computer, Laptop, Office & Home, 9.4 x 8.1 in, Black Color",https://www.amazon.com/MROCO-Ergonomic-Comfortable-Mousepad-Non-Slip/dp/B07DVCGX7G/ref=sr_1_5?dib=eyJ2IjoiMSJ9.-MhpCuyVEjG1a-3GrpAGhw0nQsF27cjiFm-aS-6ZLfB3w71DjEYOYoeguu2V3sdbxAQZPsUWqxVAzh_iah2UQPbc2z-eZJfkpzotVkFDId8hKvfYqxUzX4BSDPKSSaOqzP22lP8ZGfmBmwPsglcIZPKlH4p2hPoZTMGEEiKAQz9sWglOM1gs6btcAAPlUbkewMe5cnYJw7CPLWRcVT40qQUjYyYgqVLf33BDhoWQGK0zOykKPnlxZJYaj1MAHnAHs8HiOjRH-qfV2Emmd9WerufYWQB_0v2337w44Qa0bVQ.VEqX_uMhlmFZsbn7HHa2g5g4z4oFlFuSjuoCbDIa7KA&dib_tag=se&keywords=mousepad&qid=1745867201&sr=8-5#customerReviews
8003,3,False,-1,False,master_experiment,0,https://m.media-amazon.com/images/I/41sNt1-AT6L._AC_UL320_.jpg,False,True,24.99,4.7,100313,False,3,24.99,mousepad,4.7,100313,mousepad_7,False,2,SteelSeries QcK Gaming Mouse Pad - XXL Cloth - Peak Tracking and Stability - Esports Mousepad - Never-Slip - Full Desk Coverage,https://www.amazon.com/SteelSeries-QcK-Gaming-Mouse-Pad-PC/dp/B0D1T1HZCC/ref=sr_1_9?dib=eyJ2IjoiMSJ9.-MhpCuyVEjG1a-3GrpAGhw0nQsF27cjiFm-aS-6ZLfB3w71DjEYOYoeguu2V3sdbxAQZPsUWqxVAzh_iah2UQPbc2z-eZJfkpzotVkFDId8hKvfYqxUzX4BSDPKSSaOqzP22lP8ZGfmBmwPsglcIZPKlH4p2hPoZTMGEEiKAQz9sWglOM1gs6btcAAPlUbkewMe5cnYJw7CPLWRcVT40qQUjYyYgqVLf33BDhoWQGK0zOykKPnlxZJYaj1MAHnAHs8HiOjRH-qfV2Emmd9WerufYWQB_0v2337w44Qa0bVQ.VEqX_uMhlmFZsbn7HHa2g5g4z4oFlFuSjuoCbDIa7KA&dib_tag=se&keywords=mousepad&qid=1745867201&sr=8-9#customerReviews
8004,4,False,-1,False,master_experiment,0,https://m.media-amazon.com/images/I/71mbxPIMl1S._AC_UL320_.jpg,False,False,9.71,4.6,33033,False,4,9.71,mousepad,4.6,33033,mousepad_1,False,32,"Amazon Basics Irregular Ergonomic Gel Computer Mouse Pad with Wrist Rest for Pain Relief, 10.1L x 8.1W inches, Black",https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo0Nzc4NzQzODgyMjE4NjAxOjE3NDU4NjcyMDE6c3BfYXRmOjIwMDAxMDUyNDg0ODMzMTo6MDo6&url=%2FAmazon-Basics-Rectangular-Computer-Support%2Fdp%2FB06X3W3TM4%2Fref%3Dsr_1_1_ffob_sspa%3Fdib%3DeyJ2IjoiMSJ9.-MhpCuyVEjG1a-3GrpAGhw0nQsF27cjiFm-aS-6ZLfB3w71DjEYOYoeguu2V3sdbxAQZPsUWqxVAzh_iah2UQPbc2z-eZJfkpzotVkFDId8hKvfYqxUzX4BSDPKSSaOqzP22lP8ZGfmBmwPsglcIZPKlH4p2hPoZTMGEEiKAQz9sWglOM1gs6btcAAPlUbkewMe5cnYJw7CPLWRcVT40qQUjYyYgqVLf33BDhoWQGK0zOykKPnlxZJYaj1MAHnAHs8HiOjRH-qfV2Emmd9WerufYWQB_0v2337w44Qa0bVQ.VEqX_uMhlmFZsbn7HHa2g5g4z4oFlFuSjuoCbDIa7KA%26dib_tag%3Dse%26keywords%3Dmousepad%26qid%3D1745867201%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1#customerReviews
8005,5,False,-1,False,master_experiment,0,https://m.media-amazon.com/images/I/71uxpx+fNpL._AC_UL320_.jpg,False,False,9.99,4.6,13319,False,5,9.99,mousepad,4.6,13319,mousepad_8,False,5,"YSAGi Leather Desk Pad Protector, Office Desk Mat, Large Mouse Pad, Non-Slip PU Leather Desk Blotter, Laptop Desk Pad, Waterproof Desk Writing Pad for Office and Home (Black, 23.6"" x 13.8"")",https://www.amazon.com/YSAGi-Leather-Protector-Non-Slip-Waterproof/dp/B0BMTPC44X/ref=sr_1_25?dib=eyJ2IjoiMSJ9.-MhpCuyVEjG1a-3GrpAGhw0nQsF27cjiFm-aS-6ZLfB3w71DjEYOYoeguu2V3sdbxAQZPsUWqxVAzh_iah2UQPbc2z-eZJfkpzotVkFDId8hKvfYqxUzX4BSDPKSSaOqzP22lP8ZGfmBmwPsglcIZPKlH4p2hPoZTMGEEiKAQz9sWglOM1gs6btcAAPlUbkewMe5cnYJw7CPLWRcVT40qQUjYyYgqVLf33BDhoWQGK0zOykKPnlxZJYaj1MAHnAHs8HiOjRH-qfV2Emmd9WerufYWQB_0v2337w44Qa0bVQ.VEqX_uMhlmFZsbn7HHa2g5g4z4oFlFuSjuoCbDIa7KA&dib_tag=se&keywords=mousepad&qid=1745867201&sr=8-25#customerReviews
8006,6,False,-1,False,master_experiment,0,https://m.media-amazon.com/images/I/51f3Nh0nU0L._AC_UL320_.jpg,False,False,7.99,4.9,11,False,6,7.99,mousepad,4.9,11,mousepad_5,False,19,"Mouse Pad with Wrist Rest,Ergonomic Mouse Pad with Comfortable Gel Wrist Rest Support and Non-Slip PU Base for Easy Typing Pain Relief, Durable and Washable(Pink)",https://www.amazon.com/s?k=mousepad#
8007,7,False,-1,False,master_experiment,0,https://m.media-amazon.com/images/I/81XADFHuLDL._AC_UL320_.jpg,False,False,9.99,4.6,70816,False,7,9.99,mousepad,4.6,70816,mousepad_3,False,40,"Aothia Leather Desk Pad Protector, Mouse Pad, Office Desk Mat, Non-Slip PU Leather Desk Blotter, Laptop Desk Pad, Waterproof Desk Writing Pad for Office and Home (Black,23.6"" x 13.7"")",https://www.amazon.com/s?k=mousepad#
8008,0,False,-1,False,master_experiment,1,https://m.media-amazon.com/images/I/81FdngRuH7L._AC_UL320_.jpg,False,False,8.49,4.6,29052,False,0,6.52,mousepad,4.6,27592,mousepad_4,False,41,"MROCO Ergonomic Mouse Pad with Gel Wrist Rest, Comfortable Mousepad with Smooth Wrist Support Surface and Non-Slip PU Base for Pain Relief, Computer, Laptop, Office & Home, 9.4 x 8.1 in, Black Color",https://www.amazon.com/MROCO-Ergonomic-Comfortable-Mousepad-Non-Slip/dp/B07DVCGX7G/ref=sr_1_5?dib=eyJ2IjoiMSJ9.-MhpCuyVEjG1a-3GrpAGhw0nQsF27cjiFm-aS-6ZLfB3w71DjEYOYoeguu2V3sdbxAQZPsUWqxVAzh_iah2UQPbc2z-eZJfkpzotVkFDId8hKvfYqxUzX4BSDPKSSaOqzP22lP8ZGfmBmwPsglcIZPKlH4p2hPoZTMGEEiKAQz9sWglOM1gs6btcAAPlUbkewMe5cnYJw7CPLWRcVT40qQUjYyYgqVLf33BDhoWQGK0zOykKPnlxZJYaj1MAHnAHs8HiOjRH-qfV2Emmd9WerufYWQB_0v2337w44Qa0bVQ.VEqX_uMhlmFZsbn7HHa2g5g4z4oFlFuSjuoCbDIa7KA&dib_tag=se&keywords=mousepad&qid=1745867201&sr=8-5#customerReviews
8009,1,False,-1,False,master_experiment,1,https://m.media-amazon.com/images/I/51jbUXcKgZL._AC_UL320_.jpg,False,False,13.97,4.7,38896,False,1,15.19,mousepad,4.6,39410,mousepad_6,False,42,"KTRIO Large Gaming Mouse Pad with Superior Micro-Weave Cloth, Extended Desk Mousepad with Stitched Edges, Non-Slip Base, Water Resist Keyboard Pad for Gamer, Office & Home, 31.5 x 11.8 in, Black",https://www.amazon.com/KTRIO-Stitched-Superior-Micro-Weave-Non-Slip/dp/B0788LMLZL/ref=sr_1_8?dib=eyJ2IjoiMSJ9.-MhpCuyVEjG1a-3GrpAGhw0nQsF27cjiFm-aS-6ZLfB3w71DjEYOYoeguu2V3sdbxAQZPsUWqxVAzh_iah2UQPbc2z-eZJfkpzotVkFDId8hKvfYqxUzX4BSDPKSSaOqzP22lP8ZGfmBmwPsglcIZPKlH4p2hPoZTMGEEiKAQz9sWglOM1gs6btcAAPlUbkewMe5cnYJw7CPLWRcVT40qQUjYyYgqVLf33BDhoWQGK0zOykKPnlxZJYaj1MAHnAHs8HiOjRH-qfV2Emmd9WerufYWQB_0v2337w44Qa0bVQ.VEqX_uMhlmFZsbn7HHa2g5g4z4oFlFuSjuoCbDIa7KA&dib_tag=se&keywords=mousepad&qid=1745867201&sr=8-8#customerReviews
