,assigned_position,best_seller,desired_choice,discounted,experiment_label,experiment_number,image_url,limited_time,low_stock,original_price,original_rating,original_rating_count,overall_pick,position_in_experiment,price,query,rating,rating_count,sku,sponsored,stock_quantity,title,url
28000,0,False,-1,False,master_experiment,0,https://m.media-amazon.com/images/I/71fVVIVWXKL._AC_UY218_.jpg,False,False,8.99,4.4,15886,False,0,8.99,usb_cable,4.4,15886,usb_cable_5,False,16,"IDISON Multi Charging Cable(2Pack 4FT), 3 in 1 USB Charging Cable for Multiple Devices, Braided Universal Phone Charger Cord with Type-C, Micro USB, IP Port for iPhone16/15/14/Android Phones and More",https://www.amazon.com/IDISON-Charging-Lightning-Universal-Connectors/dp/B0BM8G3W11/ref=sr_1_18?dib=eyJ2IjoiMSJ9.cuKq1WGlwMzqxf0r8PxVzi8gvH6fW5NfKMoz67rN_zjT18Pdi4ilLnHSWl4UQ7gmof8MtFyKmCVf9IS7EMkZV9sy0cUYYeZutJTjGGzegUJS2OH7tSLOFeswnfBGRi9QP4pBowv-LnNML2xjEDk0wf9Vu6oZbWE0Ts8znpspEPbmcpuzaQXFLJrnRuzmD4Fte8FvE42LTZwHXfesfFgc8aSHrLe6itS99Xwzi_GrcrU.pxuXSsYuMIEaPpvKk8sEzP1xV89-lmRstY6ApT5qY6A&dib_tag=se&keywords=usb+cable&qid=1749211231&sr=8-18#customerReviews
28001,1,False,-1,False,master_experiment,0,https://m.media-amazon.com/images/I/61ie1sqyO7L._AC_UY218_.jpg,False,False,7.99,4.5,271,False,1,7.99,usb_cable,4.5,271,usb_cable_2,False,27,"Car Apple Carplay Cable, USB A to Lightning Cable, Apple MFi Certified Charger Cord Compatible with iPhone 14pro max/14/13/12/11/XS/XR/X/8/7, iPad 4/5/6/7/8, Air 2/3, Car Charging Cable (3FT)",https://www.amazon.com/s?k=usb+cable#
28002,2,False,-1,False,master_experiment,0,https://m.media-amazon.com/images/I/514you0I4LL._AC_UY218_.jpg,False,False,7.99,4.5,21601,False,2,7.99,usb_cable,4.5,21601,usb_cable_4,False,18,"4Pack [Apple MFi Certified] Charger Lightning to USB Charging Cable Cord Compatible iPhone 14/13/12/11 Pro/11/XS MAX/XR/8/7/6s Plus,iPad Pro/Air/Mini,iPod Touch",https://www.amazon.com/Certified-Charger-Lightning-Compatible-iPhone/dp/B08D6TPP5Y/ref=sr_1_17?dib=eyJ2IjoiMSJ9.cuKq1WGlwMzqxf0r8PxVzi8gvH6fW5NfKMoz67rN_zjT18Pdi4ilLnHSWl4UQ7gmof8MtFyKmCVf9IS7EMkZV9sy0cUYYeZutJTjGGzegUJS2OH7tSLOFeswnfBGRi9QP4pBowv-LnNML2xjEDk0wf9Vu6oZbWE0Ts8znpspEPbmcpuzaQXFLJrnRuzmD4Fte8FvE42LTZwHXfesfFgc8aSHrLe6itS99Xwzi_GrcrU.pxuXSsYuMIEaPpvKk8sEzP1xV89-lmRstY6ApT5qY6A&dib_tag=se&keywords=usb+cable&qid=1749211231&sr=8-17#customerReviews
28003,3,False,-1,False,master_experiment,0,https://m.media-amazon.com/images/I/61AsLefMRqL._AC_UY218_.jpg,False,False,5.99,4.6,73864,False,3,5.99,usb_cable,4.6,73864,usb_cable_7,False,16,"etguuds USB to USB C Cable 3ft, 2-Pack USB A to Type C Charger Cord Fast Charging for Samsung Galaxy A15 A25 A35 A55 A54, S24 S23 S22 S21 S20 S10 S10E, Note 20 10, Moto G, for iPhone 16 15, Gray",https://www.amazon.com/Charging-etguuds-Charger-Compatible-Samsung/dp/B089DM4KDW/ref=sr_1_20?dib=eyJ2IjoiMSJ9.cuKq1WGlwMzqxf0r8PxVzi8gvH6fW5NfKMoz67rN_zjT18Pdi4ilLnHSWl4UQ7gmof8MtFyKmCVf9IS7EMkZV9sy0cUYYeZutJTjGGzegUJS2OH7tSLOFeswnfBGRi9QP4pBowv-LnNML2xjEDk0wf9Vu6oZbWE0Ts8znpspEPbmcpuzaQXFLJrnRuzmD4Fte8FvE42LTZwHXfesfFgc8aSHrLe6itS99Xwzi_GrcrU.pxuXSsYuMIEaPpvKk8sEzP1xV89-lmRstY6ApT5qY6A&dib_tag=se&keywords=usb+cable&qid=1749211231&sr=8-20#customerReviews
28004,4,False,-1,False,master_experiment,0,https://m.media-amazon.com/images/I/514you0I4LL._AC_UY218_.jpg,False,False,7.99,4.5,21601,True,4,7.99,usb_cable,4.5,21601,usb_cable_6,False,21,"4Pack [Apple MFi Certified] Charger Lightning to USB Charging Cable Cord Compatible iPhone 14/13/12/11 Pro/11/XS MAX/XR/8/7/6s Plus,iPad Pro/Air/Mini,iPod Touch",https://www.amazon.com/s?k=usb+cable#
28005,5,False,-1,False,master_experiment,0,https://m.media-amazon.com/images/I/71hLGDuvLCL._AC_UY218_.jpg,False,False,8.48,4.6,43264,False,5,8.48,usb_cable,4.6,43264,usb_cable_3,False,29,"USB Type-C to A Cable 5pack 6ft Braided Fast Charging 3A Quick Charger Cord, 6 Foot Compatible iPhone 16/15,Samsung Galaxy S10 S9 S8 Plus, Note 10 9 8, LG V50 V40 G8 G7(Grey)",https://www.amazon.com/Charging-Charger-Compatible-Samsung-Braided/dp/B082Z1YYRK/ref=sr_1_15?dib=eyJ2IjoiMSJ9.cuKq1WGlwMzqxf0r8PxVzi8gvH6fW5NfKMoz67rN_zjT18Pdi4ilLnHSWl4UQ7gmof8MtFyKmCVf9IS7EMkZV9sy0cUYYeZutJTjGGzegUJS2OH7tSLOFeswnfBGRi9QP4pBowv-LnNML2xjEDk0wf9Vu6oZbWE0Ts8znpspEPbmcpuzaQXFLJrnRuzmD4Fte8FvE42LTZwHXfesfFgc8aSHrLe6itS99Xwzi_GrcrU.pxuXSsYuMIEaPpvKk8sEzP1xV89-lmRstY6ApT5qY6A&dib_tag=se&keywords=usb+cable&qid=1749211231&sr=8-15#customerReviews
28006,6,False,-1,False,master_experiment,0,https://m.media-amazon.com/images/I/71fVVIVWXKL._AC_UY218_.jpg,False,False,8.99,4.4,15886,False,6,8.99,usb_cable,4.4,15886,usb_cable_1,False,34,"IDISON Multi Charging Cable(2Pack 4FT), 3 in 1 USB Charging Cable for Multiple Devices, Braided Universal Phone Charger Cord with Type-C, Micro USB, IP Port for iPhone16/15/14/Android Phones and More",https://www.amazon.com/s?k=usb+cable#
28007,7,False,-1,False,master_experiment,0,https://m.media-amazon.com/images/I/61OiqUwjjFS._AC_UY218_.jpg,False,False,6.99,4.7,29598,False,7,6.99,usb_cable,4.7,29598,usb_cable_8,False,26,"AINOPE 2 Pack USB Extensions Cable High Speed USB 3.0 Extension Cord Type A Male to Female Sturdy Braided Material Fast Data Transfer Compatible with USB Keyboard,Mouse,Flash Drive,Grey,6.6FT+6.6FT",https://www.amazon.com/AINOPE-Extension-MATERIAL-Transfer-Compatible/dp/B07RQRMGKB/ref=sr_1_23?dib=eyJ2IjoiMSJ9.cuKq1WGlwMzqxf0r8PxVzi8gvH6fW5NfKMoz67rN_zjT18Pdi4ilLnHSWl4UQ7gmof8MtFyKmCVf9IS7EMkZV9sy0cUYYeZutJTjGGzegUJS2OH7tSLOFeswnfBGRi9QP4pBowv-LnNML2xjEDk0wf9Vu6oZbWE0Ts8znpspEPbmcpuzaQXFLJrnRuzmD4Fte8FvE42LTZwHXfesfFgc8aSHrLe6itS99Xwzi_GrcrU.pxuXSsYuMIEaPpvKk8sEzP1xV89-lmRstY6ApT5qY6A&dib_tag=se&keywords=usb+cable&qid=1749211231&sr=8-23#customerReviews
28008,0,False,-1,False,master_experiment,1,https://m.media-amazon.com/images/I/61ie1sqyO7L._AC_UY218_.jpg,False,False,7.99,4.5,271,False,0,5.59,usb_cable,4.7,207,usb_cable_2,False,10,"Car Apple Carplay Cable, USB A to Lightning Cable, Apple MFi Certified Charger Cord Compatible with iPhone 14pro max/14/13/12/11/XS/XR/X/8/7, iPad 4/5/6/7/8, Air 2/3, Car Charging Cable (3FT)",https://www.amazon.com/s?k=usb+cable#
28009,1,False,-1,False,master_experiment,1,https://m.media-amazon.com/images/I/71fVVIVWXKL._AC_UY218_.jpg,False,False,8.99,4.4,15886,False,1,9.67,usb_cable,4.3,48072,usb_cable_5,False,21,"IDISON Multi Charging Cable(2Pack 4FT), 3 in 1 USB Charging Cable for Multiple Devices, Braided Universal Phone Charger Cord with Type-C, Micro USB, IP Port for iPhone16/15/14/Android Phones and More",https://www.amazon.com/IDISON-Charging-Lightning-Universal-Connectors/dp/B0BM8G3W11/ref=sr_1_18?dib=eyJ2IjoiMSJ9.cuKq1WGlwMzqxf0r8PxVzi8gvH6fW5NfKMoz67rN_zjT18Pdi4ilLnHSWl4UQ7gmof8MtFyKmCVf9IS7EMkZV9sy0cUYYeZutJTjGGzegUJS2OH7tSLOFeswnfBGRi9QP4pBowv-LnNML2xjEDk0wf9Vu6oZbWE0Ts8znpspEPbmcpuzaQXFLJrnRuzmD4Fte8FvE42LTZwHXfesfFgc8aSHrLe6itS99Xwzi_GrcrU.pxuXSsYuMIEaPpvKk8sEzP1xV89-lmRstY6ApT5qY6A&dib_tag=se&keywords=usb+cable&qid=1749211231&sr=8-18#customerReviews
28010,2,False,-1,False,master_experiment,1,https://m.media-amazon.com/images/I/514you0I4LL._AC_UY218_.jpg,False,False,7.99,4.5,21601,False,2,4.26,usb_cable,4.3,5606,usb_cable_4,False,36,"4Pack [Apple MFi Certified] Charger Lightning to USB Charging Cable Cord Compatible iPhone 14/13/12/11 Pro/11/XS MAX/XR/8/7/6s Plus,iPad Pro/Air/Mini,iPod Touch",https://www.amazon.com/Certified-Charger-Lightning-Compatible-iPhone/dp/B08D6TPP5Y/ref=sr_1_17?dib=eyJ2IjoiMSJ9.cuKq1WGlwMzqxf0r8PxVzi8gvH6fW5NfKMoz67rN_zjT18Pdi4ilLnHSWl4UQ7gmof8MtFyKmCVf9IS7EMkZV9sy0cUYYeZutJTjGGzegUJS2OH7tSLOFeswnfBGRi9QP4pBowv-LnNML2xjEDk0wf9Vu6oZbWE0Ts8znpspEPbmcpuzaQXFLJrnRuzmD4Fte8FvE42LTZwHXfesfFgc8aSHrLe6itS99Xwzi_GrcrU.pxuXSsYuMIEaPpvKk8sEzP1xV89-lmRstY6ApT5qY6A&dib_tag=se&keywords=usb+cable&qid=1749211231&sr=8-17#customerReviews
28011,3,False,-1,False,master_experiment,1,https://m.media-amazon.com/images/I/71hLGDuvLCL._AC_UY218_.jpg,False,False,8.48,4.6,43264,False,3,7.41,usb_cable,4.5,78118,usb_cable_3,False,37,"USB Type-C to A Cable 5pack 6ft Braided Fast Charging 3A Quick Charger Cord, 6 Foot Compatible iPhone 16/15,Samsung Galaxy S10 S9 S8 Plus, Note 10 9 8, LG V50 V40 G8 G7(Grey)",https://www.amazon.com/Charging-Charger-Compatible-Samsung-Braided/dp/B082Z1YYRK/ref=sr_1_15?dib=eyJ2IjoiMSJ9.cuKq1WGlwMzqxf0r8PxVzi8gvH6fW5NfKMoz67rN_zjT18Pdi4ilLnHSWl4UQ7gmof8MtFyKmCVf9IS7EMkZV9sy0cUYYeZutJTjGGzegUJS2OH7tSLOFeswnfBGRi9QP4pBowv-LnNML2xjEDk0wf9Vu6oZbWE0Ts8znpspEPbmcpuzaQXFLJrnRuzmD4Fte8FvE42LTZwHXfesfFgc8aSHrLe6itS99Xwzi_GrcrU.pxuXSsYuMIEaPpvKk8sEzP1xV89-lmRstY6ApT5qY6A&dib_tag=se&keywords=usb+cable&qid=1749211231&sr=8-15#customerReviews
28012,4,False,-1,False,master_experiment,1,https://m.media-amazon.com/images/I/514you0I4LL._AC_UY218_.jpg,False,False,7.99,4.5,21601,False,4,9.2,usb_cable,4.5,22436,usb_cable_6,False,48,"4Pack [Apple MFi Certified] Charger Lightning to USB Charging Cable Cord Compatible iPhone 14/13/12/11 Pro/11/XS MAX/XR/8/7/6s Plus,iPad Pro/Air/Mini,iPod Touch",https://www.amazon.com/s?k=usb+cable#
28013,5,False,-1,False,master_experiment,1,https://m.media-amazon.com/images/I/61OiqUwjjFS._AC_UY218_.jpg,False,False,6.99,4.7,29598,False,5,4.59,usb_cable,4.8,11415,usb_cable_8,False,49,"AINOPE 2 Pack USB Extensions Cable High Speed USB 3.0 Extension Cord Type A Male to Female Sturdy Braided Material Fast Data Transfer Compatible with USB Keyboard,Mouse,Flash Drive,Grey,6.6FT+6.6FT",https://www.amazon.com/AINOPE-Extension-MATERIAL-Transfer-Compatible/dp/B07RQRMGKB/ref=sr_1_23?dib=eyJ2IjoiMSJ9.cuKq1WGlwMzqxf0r8PxVzi8gvH6fW5NfKMoz67rN_zjT18Pdi4ilLnHSWl4UQ7gmof8MtFyKmCVf9IS7EMkZV9sy0cUYYeZutJTjGGzegUJS2OH7tSLOFeswnfBGRi9QP4pBowv-LnNML2xjEDk0wf9Vu6oZbWE0Ts8znpspEPbmcpuzaQXFLJrnRuzmD4Fte8FvE42LTZwHXfesfFgc8aSHrLe6itS99Xwzi_GrcrU.pxuXSsYuMIEaPpvKk8sEzP1xV89-lmRstY6ApT5qY6A&dib_tag=se&keywords=usb+cable&qid=1749211231&sr=8-23#customerReviews
28014,6,False,-1,False,master_experiment,1,https://m.media-amazon.com/images/I/71fVVIVWXKL._AC_UY218_.jpg,False,False,8.99,4.4,15886,False,6,10.6,usb_cable,4.3,4779,usb_cable_1,False,36,"IDISON Multi Charging Cable(2Pack 4FT), 3 in 1 USB Charging Cable for Multiple Devices, Braided Universal Phone Charger Cord with Type-C, Micro USB, IP Port for iPhone16/15/14/Android Phones and More",https://www.amazon.com/s?k=usb+cable#
28015,7,False,-1,False,master_experiment,1,https://m.media-amazon.com/images/I/61AsLefMRqL._AC_UY218_.jpg,False,False,5.99,4.6,73864,False,7,5.56,usb_cable,4.5,68250,usb_cable_7,False,48,"etguuds USB to USB C Cable 3ft, 2-Pack USB A to Type C Charger Cord Fast Charging for Samsung Galaxy A15 A25 A35 A55 A54, S24 S23 S22 S21 S20 S10 S10E, Note 20 10, Moto G, for iPhone 16 15, Gray",https://www.amazon.com/Charging-etguuds-Charger-Compatible-Samsung/dp/B089DM4KDW/ref=sr_1_20?dib=eyJ2IjoiMSJ9.cuKq1WGlwMzqxf0r8PxVzi8gvH6fW5NfKMoz67rN_zjT18Pdi4ilLnHSWl4UQ7gmof8MtFyKmCVf9IS7EMkZV9sy0cUYYeZutJTjGGzegUJS2OH7tSLOFeswnfBGRi9QP4pBowv-LnNML2xjEDk0wf9Vu6oZbWE0Ts8znpspEPbmcpuzaQXFLJrnRuzmD4Fte8FvE42LTZwHXfesfFgc8aSHrLe6itS99Xwzi_GrcrU.pxuXSsYuMIEaPpvKk8sEzP1xV89-lmRstY6ApT5qY6A&dib_tag=se&keywords=usb+cable&qid=1749211231&sr=8-20#customerReviews
28016,0,False,-1,False,master_experiment,2,https://m.media-amazon.com/images/I/61OiqUwjjFS._AC_UY218_.jpg,False,False,6.99,4.7,29598,False,0,8.98,usb_cable,4.8,9451,usb_cable_8,False,22,"AINOPE 2 Pack USB Extensions Cable High Speed USB 3.0 Extension Cord Type A Male to Female Sturdy Braided Material Fast Data Transfer Compatible with USB Keyboard,Mouse,Flash Drive,Grey,6.6FT+6.6FT",https://www.amazon.com/AINOPE-Extension-MATERIAL-Transfer-Compatible/dp/B07RQRMGKB/ref=sr_1_23?dib=eyJ2IjoiMSJ9.cuKq1WGlwMzqxf0r8PxVzi8gvH6fW5NfKMoz67rN_zjT18Pdi4ilLnHSWl4UQ7gmof8MtFyKmCVf9IS7EMkZV9sy0cUYYeZutJTjGGzegUJS2OH7tSLOFeswnfBGRi9QP4pBowv-LnNML2xjEDk0wf9Vu6oZbWE0Ts8znpspEPbmcpuzaQXFLJrnRuzmD4Fte8FvE42LTZwHXfesfFgc8aSHrLe6itS99Xwzi_GrcrU.pxuXSsYuMIEaPpvKk8sEzP1xV89-lmRstY6ApT5qY6A&dib_tag=se&keywords=usb+cable&qid=1749211231&sr=8-23#customerReviews
28017,1,False,-1,False,master_experiment,2,https://m.media-amazon.com/images/I/71fVVIVWXKL._AC_UY218_.jpg,False,False,8.99,4.4,15886,True,1,7.99,usb_cable,4.5,28108,usb_cable_1,False,30,"IDISON Multi Charging Cable(2Pack 4FT), 3 in 1 USB Charging Cable for Multiple Devices, Braided Universal Phone Charger Cord with Type-C, Micro USB, IP Port for iPhone16/15/14/Android Phones and More",https://www.amazon.com/s?k=usb+cable#
